Temperature,Dissolved Oxygen,pH,Bio-Chemical Oxygen Demand (mg/L),Faecal Streptococci (MPN/ 100 mL),Nitrate (mg/ L),Faecal Coliform (MPN/ 100 mL),Total Coliform (MPN/ 100 mL),Conductivity (mho/ Cm),WQI
0.0,8.6,7.55,1.55,0.0,0.0,0.0,0.0,5.065754593317335,31.65983243
21.25,9.0,7.25,1.85,1010.0,0.4542552722775964,6.8679744089702925,7.611347717403621,5.354224998486333,42.41116878
21.0,9.4,7.05,1.35,760.0,0.4382549309311553,6.406879986069314,7.327123292259293,5.349485653122436,42.14178893
22.5,8.7,7.2,1.95,180.0,0.3852624007906449,5.278114659230517,5.8888779583328805,5.402677381872279,44.35737685
23.5,8.75,7.3,1.7,290.0,0.3611648492115844,5.707110264748875,6.364750756851911,5.429345628954441,45.55328488
21.5,8.95,7.35,1.75,557.5,0.4154154389613325,6.398594934535208,7.017506142941256,5.429345628954441,45.61101961
20.5,10.1,7.5,1.7,177.5,0.46058440732924394,5.3981627015177525,5.87493073085203,6.119197913617533,90.39352772
24.5,8.55,8.0,2.15,1100.0,0.0,6.747469149048794,7.696667081526462,5.402677381872279,44.4463526
24.0,8.5,8.15,2.9,1975.0,0.0,7.601402334583733,8.281723990411392,5.62040086571715,55.33546186
24.0,8.1,8.2,3.5,2450.0,0.0,7.824445930877619,8.497194544909547,5.648974238161206,57.00956125
24.0,8.35,8.35,3.35,2275.0,0.0,7.783640596221253,8.423102268016642,5.625820933186489,55.71279293
24.0,8.05,8.25,3.25,2425.0,0.0,7.844240718141811,8.486940148245216,5.6577385361547945,57.50092172
24.0,8.05,8.25,3.1,2025.0,0.0,7.8826922062890254,8.30671904320269,5.652489180268651,57.21038522
24.0,7.7,8.25,3.55,2900.0,0.0,8.086717920303906,8.665785595466064,5.705447753975262,60.37917248
24.0,7.0,8.0,4.5,22750.0,0.0,10.165890277802454,10.725489582719506,5.809642865355678,70.40799449
24.0,7.6,8.1,4.1,15250.0,0.0,9.592263871501313,10.32551474894327,5.725217755376266,63.34466957
22.0,8.8,8.3,3.45,1800.0,0.598836501088704,8.02322468471667,8.188966863648876,5.800606659291741,66.37649074
22.0,8.95,8.2,3.4,1775.0,0.5877866649021191,7.972810784121404,8.174984532943087,5.805134968916488,66.64852417
27.4,9.75,8.0,2.65,8350.0,0.8940451229268354,9.121618441915379,9.723223876851618,5.339939041238856,43.24397498
27.55,9.2,8.15,2.95,9500.0,0.9458495341156994,9.137877200242468,9.852246888342531,5.3471075307174685,43.58312865
27.7,9.15,8.1,2.7,8850.0,0.959350221334602,9.005895898094458,9.781376414141157,5.5626028611934215,53.38861996
