Temperature,Dissolved Oxygen,pH,Bio-Chemical Oxygen Demand (mg/L),Faecal Streptococci (MPN/ 100 mL),Nitrate (mg/ L),Faecal Coliform (MPN/ 100 mL),Total Coliform (MPN/ 100 mL),Conductivity (mho/ Cm),WQI
24.5,5.0,7.45,7.0,0.0,0.0,0.0,0.0,6.066108090103747,85.73993545
24.5,8.15,8.3,5.15,6025.0,0.0,8.665785595466064,9.396902923027392,6.118097198041348,91.21976212
27.8,8.2,7.3,0.0,3900.0,0.4054651081081644,7.601402334583733,8.962007209588313,5.170483995038151,35.47180709
28.2,8.3,7.4,0.0,6500.0,0.4054651081081644,7.601402334583733,9.472781556562168,5.181783550292085,35.88973529
25.9,6.95,8.15,4.2,14350.0,0.9360933591703349,9.401043372798053,10.264687244346277,5.856503561673865,71.60266101
25.9,6.7,8.1,4.4,18375.0,0.9360933591703349,9.781376414141157,10.511920715155128,5.872117789475416,73.5438855
26.25,3.0,7.6,8.5,65250.0,1.1631508098056809,11.445727410406752,11.779136168550774,5.980150787207709,93.17270907
26.25,2.3,7.55,8.95,140500.0,1.208960345836975,11.763691965388299,12.546113507028412,5.998936561946683,100.3081522
26.25,2.3,8.05,9.3,57500.0,1.3480731482996928,11.042937835596494,11.652696102959753,6.251903883165888,113.0514312
26.25,1.9,7.55,10.1,74750.0,1.3737155789130306,11.603688960617083,11.915058360753719,6.268148865350222,121.8121061
26.25,4.1,8.05,4.95,18500.0,0.8544153281560676,10.090008612393838,10.518700218288165,5.976350909297934,82.13646841
26.25,4.45,8.05,4.3,13075.0,0.8544153281560676,9.761405420601672,10.171642709679686,5.954541193003384,79.40601982
23.5,6.95,7.95,4.55,3825.0,0.6151856390902334,8.566173813637858,8.942591637231851,5.954541193003384,77.58394288
23.5,7.05,7.95,4.55,3800.0,0.6151856390902334,8.507344855361422,8.936035096566041,5.940171252720432,76.45428995
26.5,8.25,8.3,2.85,1200.0,0.18232155679395465,7.0909098220799835,7.783640596221253,6.013715156042802,81.53956586
24.5,7.0,7.35,5.5,13975.0,0.0,9.599066156080049,10.238208256118535,5.746203190540153,64.65956949
23.5,7.55,7.55,4.3,11500.0,0.0,9.35452729228868,10.043292972227004,5.683579767338681,60.38151054
21.0,9.9,7.8,3.0,8525.0,0.4054651081081644,9.488047863280759,9.743964132018151,5.707110264748875,62.05189433
23.5,7.2,7.4,4.7,10350.0,0.0,8.942591637231851,9.937937287265354,7.158513997329321,255.82369
25.5,7.3,7.3,4.75,10575.0,0.0,9.174816815907135,9.959442464680574,5.739792912179234,63.46696053
25.0,8.7,7.75,1.9,9025.0,0.25851069515150105,9.059633754551479,9.800956363888462,5.6131281063880705,55.94340388
23.75,8.85,8.25,2.05,625.0,0.37156355643248307,5.860786223465865,7.1316985104669115,5.501258210544727,48.96968952
23.75,8.55,8.3,2.65,1425.0,0.33647223662121295,7.208600337960199,7.955425088912672,5.568344503761097,52.49819973
23.5,7.2,7.6,2.2,15200.0,0.22314355131420976,9.169622538697624,10.322230781590136,6.212606095751519,100.5934422
19.5,7.35,7.25,2.25,3975.0,0.18232155679395465,7.8826922062890254,8.981052985901483,6.13880638500591,92.45704224
25.5,7.1,7.65,3.8,41700.0,0.262364264467491,9.61587214452889,11.331415578682627,5.633002292595154,58.21066773
30.5,6.75,7.6,3.65,27250.0,0.18232155679395465,9.605822482030945,10.905974329106854,5.849324779946859,71.43701282
26.0,2.8,6.95,7.0,42750.0,0.5306282510621704,9.367429587218957,11.356283350762888,6.3377102955561755,114.3309968
26.0,3.0,7.2,5.0,41575.0,0.4700036292457356,9.337061124755339,11.328413511006964,5.531411248715415,52.2798854
25.0,2.2,7.2,16.4,42750.0,1.1474024528375417,10.23462415135353,11.356283350762888,6.538863151104813,142.1536776
